date,day_of_week,is_weekend,cone_size,flavor,temperature,daily_sales
2021-01-16,Saturday,1,Small,Strawberry,22.1,15
2021-01-16,Saturday,1,Medium,Chocolate,22.1,18
2021-01-16,Saturday,1,Medium,Strawberry,22.1,18
2021-01-16,Saturday,1,Large,Chocolate,22.1,9
2021-01-16,Saturday,1,Large,Strawberry,22.1,8
2021-01-17,Sunday,1,Small,Chocolate,20.8,11
2021-01-17,Sunday,1,Small,Strawberry,20.8,12
2021-01-17,Sunday,1,Medium,Chocolate,20.8,9
2021-01-17,Sunday,1,Medium,Strawberry,20.8,10
2021-01-17,Sunday,1,Large,Chocolate,20.8,5
2021-01-17,Sunday,1,Large,Strawberry,20.8,9
2021-01-18,Monday,0,Small,Chocolate,19.1,6
2021-01-18,Monday,0,Small,Strawberry,19.1,1
2021-01-18,Monday,0,Medium,Chocolate,19.1,4
2021-01-18,Monday,0,Medium,Strawberry,19.1,5
2021-01-18,Monday,0,Large,Chocolate,19.1,0
2021-01-18,Monday,0,Large,Strawberry,19.1,2
2021-01-19,Tuesday,0,Small,Chocolate,21.2,12
2021-01-19,Tuesday,0,Small,Strawberry,21.2,9
2021-01-19,Tuesday,0,Medium,Chocolate,21.2,13
2021-01-19,Tuesday,0,Medium,Strawberry,21.2,10
2021-01-19,Tuesday,0,Large,Chocolate,21.2,8
2021-01-19,Tuesday,0,Large,Strawberry,21.2,7
2021-01-20,Wednesday,0,Small,Chocolate,19.3,5
2021-01-20,Wednesday,0,Small,Strawberry,19.3,2
2021-01-20,Wednesday,0,Medium,Chocolate,19.3,7
2021-01-20,Wednesday,0,Medium,Strawberry,19.3,4
2021-01-20,Wednesday,0,Large,Chocolate,19.3,0
2021-01-20,Wednesday,0,Large,Strawberry,19.3,3
2021-01-21,Thursday,0,Small,Chocolate,18.8,7
2021-01-21,Thursday,0,Small,Strawberry,18.8,2
2021-01-21,Thursday,0,Medium,Chocolate,18.8,5
2021-01-21,Thursday,0,Medium,Strawberry,18.8,3
2021-01-21,Thursday,0,Large,Chocolate,18.8,4
2021-01-21,Thursday,0,Large,Strawberry,18.8,5
2021-01-22,Friday,0,Small,Chocolate,20.3,5
2021-01-22,Friday,0,Small,Strawberry,20.3,3
2021-01-22,Friday,0,Medium,Chocolate,20.3,5
2021-01-22,Friday,0,Medium,Strawberry,20.3,5
2021-01-22,Friday,0,Large,Chocolate,20.3,4
2021-01-22,Friday,0,Large,Strawberry,20.3,4
2021-01-23,Saturday,1,Small,Chocolate,20.9,21
2021-01-23,Saturday,1,Small,Strawberry,20.9,23
2021-01-23,Saturday,1,Medium,Chocolate,20.9,18
2021-01-23,Saturday,1,Medium,Strawberry,20.9,12
2021-01-23,Saturday,1,Large,Chocolate,20.9,9
2021-01-23,Saturday,1,Large,Strawberry,20.9,10
2021-01-24,Sunday,1,Small,Chocolate,20.4,16
2021-01-24,Sunday,1,Small,Strawberry,20.4,12
2021-01-24,Sunday,1,Medium,Chocolate,20.4,10
2021-01-24,Sunday,1,Medium,Strawberry,20.4,6
2021-01-24,Sunday,1,Large,Chocolate,20.4,6
2021-01-24,Sunday,1,Large,Strawberry,20.4,8
2021-01-25,Monday,0,Small,Chocolate,21.4,10
2021-01-25,Monday,0,Small,Strawberry,21.4,9
2021-01-25,Monday,0,Medium,Chocolate,21.4,6
2021-01-25,Monday,0,Medium,Strawberry,21.4,7
2021-01-25,Monday,0,Large,Chocolate,21.4,5
2021-01-25,Monday,0,Large,Strawberry,21.4,2
2021-01-26,Tuesday,0,Small,Chocolate,21.7,19
2021-01-26,Tuesday,0,Small,Strawberry,21.7,16
2021-01-26,Tuesday,0,Medium,Chocolate,21.7,11
2021-01-26,Tuesday,0,Medium,Strawberry,21.7,9
2021-01-26,Tuesday,0,Large,Chocolate,21.7,10
2021-01-26,Tuesday,0,Large,Strawberry,21.7,8
2021-01-27,Wednesday,0,Small,Chocolate,22.1,32
2021-01-27,Wednesday,0,Small,Strawberry,22.1,27
2021-01-27,Wednesday,0,Medium,Chocolate,22.1,26
2021-01-27,Wednesday,0,Medium,Strawberry,22.1,21
2021-01-27,Wednesday,0,Large,Chocolate,22.1,15
2021-01-27,Wednesday,0,Large,Strawberry,22.1,14
2021-01-28,Thursday,0,Small,Chocolate,19.6,3
2021-01-28,Thursday,0,Small,Strawberry,19.6,4
2021-01-28,Thursday,0,Medium,Chocolate,19.6,8
2021-01-28,Thursday,0,Medium,Strawberry,19.6,0
2021-01-28,Thursday,0,Large,Chocolate,19.6,3
2021-01-28,Thursday,0,Large,Strawberry,19.6,0
2021-01-29,Friday,0,Small,Chocolate,20.2,9
2021-01-29,Friday,0,Small,Strawberry,20.2,5
2021-01-29,Friday,0,Medium,Chocolate,20.2,5
2021-01-29,Friday,0,Medium,Strawberry,20.2,7
2021-01-29,Friday,0,Large,Chocolate,20.2,3
2021-01-29,Friday,0,Large,Strawberry,20.2,4
2021-01-30,Saturday,1,Small,Chocolate,21.3,22
2021-01-30,Saturday,1,Small,Strawberry,21.3,0
2021-01-30,Saturday,1,Medium,Chocolate,21.3,10
2021-01-30,Saturday,1,Medium,Strawberry,21.3,12
2021-01-30,Saturday,1,Large,Chocolate,21.3,7
2021-01-30,Saturday,1,Large,Strawberry,21.3,9
2021-01-31,Sunday,1,Small,Chocolate,19.7,7
2021-01-31,Sunday,1,Small,Strawberry,19.7,6
2021-01-31,Sunday,1,Medium,Chocolate,19.7,2
2021-01-31,Sunday,1,Medium,Strawberry,19.7,3
2021-01-31,Sunday,1,Large,Chocolate,19.7,2
2021-01-31,Sunday,1,Large,Strawberry,19.7,1
2021-02-01,Monday,0,Small,Chocolate,24.9,28
2021-02-01,Monday,0,Small,Strawberry,24.9,0
2021-02-01,Monday,0,Medium,Chocolate,24.9,29
2021-02-01,Monday,0,Medium,Strawberry,24.9,22
2021-02-01,Monday,0,Large,Chocolate,24.9,12
2021-02-01,Monday,0,Large,Strawberry,24.9,12
2021-02-02,Tuesday,0,Small,Chocolate,23.9,22
2021-02-02,Tuesday,0,Small,Strawberry,23.9,19
2021-02-02,Tuesday,0,Medium,Chocolate,23.9,15
2021-02-02,Tuesday,0,Medium,Strawberry,23.9,14
2021-02-02,Tuesday,0,Large,Chocolate,23.9,4
2021-02-02,Tuesday,0,Large,Strawberry,23.9,7
2021-02-03,Wednesday,0,Small,Chocolate,20.9,12
2021-02-03,Wednesday,0,Small,Strawberry,20.9,4
2021-02-03,Wednesday,0,Medium,Chocolate,20.9,6
2021-02-03,Wednesday,0,Medium,Strawberry,20.9,5
2021-02-03,Wednesday,0,Large,Chocolate,20.9,7
2021-02-03,Wednesday,0,Large,Strawberry,20.9,0
2021-02-04,Thursday,0,Small,Chocolate,23.8,23
2021-02-04,Thursday,0,Small,Strawberry,23.8,21
2021-02-04,Thursday,0,Medium,Chocolate,23.8,20
2021-02-04,Thursday,0,Medium,Strawberry,23.8,15
2021-02-04,Thursday,0,Large,Chocolate,23.8,13
2021-02-04,Thursday,0,Large,Strawberry,23.8,9
2021-02-05,Friday,0,Small,Chocolate,21.8,21
2021-02-05,Friday,0,Small,Strawberry,21.8,12
2021-02-05,Friday,0,Medium,Chocolate,21.8,18
2021-02-05,Friday,0,Medium,Strawberry,21.8,8
2021-02-05,Friday,0,Large,Chocolate,21.8,9
2021-02-05,Friday,0,Large,Strawberry,21.8,8
2021-02-06,Saturday,1,Small,Chocolate,22.2,23
2021-02-06,Saturday,1,Small,Strawberry,22.2,18
2021-02-06,Saturday,1,Medium,Chocolate,22.2,17
2021-02-06,Saturday,1,Medium,Strawberry,22.2,17
2021-02-06,Saturday,1,Large,Chocolate,22.2,12
2021-02-06,Saturday,1,Large,Strawberry,22.2,8
2021-02-07,Sunday,1,Small,Chocolate,23.5,39
2021-02-07,Sunday,1,Small,Strawberry,23.5,32
2021-02-07,Sunday,1,Medium,Chocolate,23.5,28
2021-02-07,Sunday,1,Medium,Strawberry,23.5,23
2021-02-07,Sunday,1,Large,Chocolate,23.5,21
2021-02-07,Sunday,1,Large,Strawberry,23.5,17
2021-02-08,Monday,0,Small,Chocolate,21.7,18
2021-02-08,Monday,0,Small,Strawberry,21.7,12
2021-02-08,Monday,0,Medium,Chocolate,21.7,14
2021-02-08,Monday,0,Medium,Strawberry,21.7,10
2021-02-08,Monday,0,Large,Chocolate,21.7,7
2021-02-08,Monday,0,Large,Strawberry,21.7,9
2021-02-09,Tuesday,0,Small,Chocolate,23.5,30
2021-02-09,Tuesday,0,Small,Strawberry,23.5,22
2021-02-09,Tuesday,0,Medium,Chocolate,23.5,23
2021-02-09,Tuesday,0,Medium,Strawberry,23.5,17
2021-02-09,Tuesday,0,Large,Chocolate,23.5,14
2021-02-09,Tuesday,0,Large,Strawberry,23.5,11
2021-02-10,Wednesday,0,Small,Chocolate,22.1,38
2021-02-10,Wednesday,0,Small,Strawberry,22.1,36
2021-02-10,Wednesday,0,Medium,Chocolate,22.1,29
2021-02-10,Wednesday,0,Medium,Strawberry,22.1,0
2021-02-10,Wednesday,0,Large,Chocolate,22.1,22
2021-02-10,Wednesday,0,Large,Strawberry,22.1,18
2021-02-11,Thursday,0,Small,Chocolate,23.2,51
2021-02-11,Thursday,0,Small,Strawberry,23.2,40
2021-02-11,Thursday,0,Medium,Chocolate,23.2,41
2021-02-11,Thursday,0,Medium,Strawberry,23.2,32
2021-02-11,Thursday,0,Large,Chocolate,23.2,28
2021-02-11,Thursday,0,Large,Strawberry,23.2,21
2021-02-12,Friday,0,Small,Chocolate,20.4,16
2021-02-12,Friday,0,Small,Strawberry,20.4,11
2021-02-12,Friday,0,Medium,Chocolate,20.4,10
2021-02-12,Friday,0,Medium,Strawberry,20.4,10
2021-02-12,Friday,0,Large,Chocolate,20.4,8
2021-02-12,Friday,0,Large,Strawberry,20.4,5
2021-02-13,Saturday,1,Small,Chocolate,21.2,37
2021-02-13,Saturday,1,Small,Strawberry,21.2,30
2021-02-13,Saturday,1,Medium,Chocolate,21.2,30
2021-02-13,Saturday,1,Medium,Strawberry,21.2,26
2021-02-13,Saturday,1,Large,Chocolate,21.2,21
2021-02-13,Saturday,1,Large,Strawberry,21.2,19
2021-02-14,Sunday,1,Small,Chocolate,23.9,74
2021-02-14,Sunday,1,Small,Strawberry,23.9,58
2021-02-14,Sunday,1,Medium,Chocolate,23.9,59
2021-02-14,Sunday,1,Medium,Strawberry,23.9,47
2021-02-14,Sunday,1,Large,Chocolate,23.9,38
2021-02-14,Sunday,1,Large,Strawberry,23.9,29
2021-02-15,Monday,0,Small,Chocolate,23.3,60
2021-02-15,Monday,0,Small,Strawberry,23.3,50
2021-02-15,Monday,0,Medium,Chocolate,23.3,49
2021-02-15,Monday,0,Medium,Strawberry,23.3,38
2021-02-15,Monday,0,Large,Chocolate,23.3,31
2021-02-15,Monday,0,Large,Strawberry,23.3,25
2021-02-16,Tuesday,0,Small,Chocolate,22.5,33
2021-02-16,Tuesday,0,Small,Strawberry,22.5,28
2021-02-16,Tuesday,0,Medium,Chocolate,22.5,29
2021-02-16,Tuesday,0,Medium,Strawberry,22.5,23
2021-02-16,Tuesday,0,Large,Chocolate,22.5,21
2021-02-16,Tuesday,0,Large,Strawberry,22.5,12
2021-02-17,Wednesday,0,Small,Chocolate,24.1,0
2021-02-17,Wednesday,0,Small,Strawberry,24.1,43
2021-02-17,Wednesday,0,Medium,Chocolate,24.1,42
2021-02-17,Wednesday,0,Medium,Strawberry,24.1,34
2021-02-17,Wednesday,0,Large,Chocolate,24.1,23
2021-02-17,Wednesday,0,Large,Strawberry,24.1,21
2021-02-18,Thursday,0,Small,Chocolate,20.9,24
2021-02-18,Thursday,0,Small,Strawberry,20.9,23
2021-02-18,Thursday,0,Medium,Chocolate,20.9,21
2021-02-18,Thursday,0,Medium,Strawberry,20.9,14
2021-02-18,Thursday,0,Large,Chocolate,20.9,10
2021-02-18,Thursday,0,Large,Strawberry,20.9,11
2021-02-19,Friday,0,Small,Chocolate,19.9,17
2021-02-19,Friday,0,Small,Strawberry,19.9,11
2021-02-19,Friday,0,Medium,Chocolate,19.9,8
2021-02-19,Friday,0,Medium,Strawberry,19.9,12
2021-02-19,Friday,0,Large,Chocolate,19.9,7
2021-02-19,Friday,0,Large,Strawberry,19.9,8
2021-02-20,Saturday,1,Small,Chocolate,19.4,6
2021-02-20,Saturday,1,Small,Strawberry,19.4,5
2021-02-20,Saturday,1,Medium,Chocolate,19.4,4
2021-02-20,Saturday,1,Medium,Strawberry,19.4,5
2021-02-20,Saturday,1,Large,Chocolate,19.4,1
2021-02-20,Saturday,1,Large,Strawberry,19.4,2
2021-02-21,Sunday,1,Small,Chocolate,22.9,37
2021-02-21,Sunday,1,Small,Strawberry,22.9,27
2021-02-21,Sunday,1,Medium,Chocolate,22.9,25
2021-02-21,Sunday,1,Medium,Strawberry,22.9,25
2021-02-21,Sunday,1,Large,Chocolate,22.9,18
2021-02-21,Sunday,1,Large,Strawberry,22.9,13
2021-02-22,Monday,0,Small,Chocolate,25.9,34
2021-02-22,Monday,0,Small,Strawberry,25.9,26
2021-02-22,Monday,0,Medium,Chocolate,25.9,30
2021-02-22,Monday,0,Medium,Strawberry,25.9,24
2021-02-22,Monday,0,Large,Chocolate,25.9,16
2021-02-22,Monday,0,Large,Strawberry,25.9,15
2021-02-23,Tuesday,0,Small,Chocolate,24.1,31
2021-02-23,Tuesday,0,Small,Strawberry,24.1,28
2021-02-23,Tuesday,0,Medium,Chocolate,24.1,0
2021-02-23,Tuesday,0,Medium,Strawberry,24.1,18
2021-02-23,Tuesday,0,Large,Chocolate,24.1,14
2021-02-23,Tuesday,0,Large,Strawberry,24.1,10
2021-02-24,Wednesday,0,Small,Chocolate,22.4,24
2021-02-24,Wednesday,0,Small,Strawberry,22.4,18
2021-02-24,Wednesday,0,Medium,Chocolate,22.4,20
2021-02-24,Wednesday,0,Medium,Strawberry,22.4,11
2021-02-24,Wednesday,0,Large,Chocolate,22.4,7
2021-02-24,Wednesday,0,Large,Strawberry,22.4,9
2021-02-25,Thursday,0,Small,Chocolate,23.8,20
2021-02-25,Thursday,0,Small,Strawberry,23.8,20
2021-02-25,Thursday,0,Medium,Chocolate,23.8,17
2021-02-25,Thursday,0,Medium,Strawberry,23.8,17
2021-02-25,Thursday,0,Large,Chocolate,23.8,13
2021-02-25,Thursday,0,Large,Strawberry,23.8,8
2021-02-26,Friday,0,Small,Chocolate,22.0,13
2021-02-26,Friday,0,Small,Strawberry,22.0,13
2021-02-26,Friday,0,Medium,Chocolate,22.0,9
2021-02-26,Friday,0,Medium,Strawberry,22.0,10
2021-02-26,Friday,0,Large,Chocolate,22.0,0
2021-02-26,Friday,0,Large,Strawberry,22.0,4
2021-02-27,Saturday,1,Small,Chocolate,22.9,24
2021-02-27,Saturday,1,Small,Strawberry,22.9,18
2021-02-27,Saturday,1,Medium,Chocolate,22.9,24
2021-02-27,Saturday,1,Medium,Strawberry,22.9,16
2021-02-27,Saturday,1,Large,Chocolate,22.9,11
2021-02-27,Saturday,1,Large,Strawberry,22.9,11
2021-02-28,Sunday,1,Small,Chocolate,23.0,32
2021-02-28,Sunday,1,Small,Strawberry,23.0,27
2021-02-28,Sunday,1,Medium,Chocolate,23.0,24
2021-02-28,Sunday,1,Medium,Strawberry,23.0,19
2021-02-28,Sunday,1,Large,Chocolate,23.0,15
2021-02-28,Sunday,1,Large,Strawberry,23.0,8
2021-03-01,Monday,0,Small,Chocolate,20.3,20
2021-03-01,Monday,0,Small,Strawberry,20.3,13
2021-03-01,Monday,0,Medium,Chocolate,20.3,14
2021-03-01,Monday,0,Medium,Strawberry,20.3,11
2021-03-01,Monday,0,Large,Chocolate,20.3,14
2021-03-01,Monday,0,Large,Strawberry,20.3,9
2021-03-02,Tuesday,0,Small,Chocolate,23.1,27
2021-03-02,Tuesday,0,Small,Strawberry,23.1,25
2021-03-02,Tuesday,0,Medium,Chocolate,23.1,23
2021-03-02,Tuesday,0,Medium,Strawberry,23.1,17
2021-03-02,Tuesday,0,Large,Chocolate,23.1,14
2021-03-02,Tuesday,0,Large,Strawberry,23.1,10
2021-03-03,Wednesday,0,Small,Chocolate,26.8,67
2021-03-03,Wednesday,0,Small,Strawberry,26.8,58
2021-03-03,Wednesday,0,Medium,Chocolate,26.8,54
2021-03-03,Wednesday,0,Medium,Strawberry,26.8,42
2021-03-03,Wednesday,0,Large,Chocolate,26.8,37
2021-03-03,Wednesday,0,Large,Strawberry,26.8,29
2021-03-04,Thursday,0,Small,Chocolate,21.5,22
2021-03-04,Thursday,0,Small,Strawberry,21.5,16
2021-03-04,Thursday,0,Medium,Chocolate,21.5,20
2021-03-04,Thursday,0,Medium,Strawberry,21.5,19
2021-03-04,Thursday,0,Large,Chocolate,21.5,9
2021-03-04,Thursday,0,Large,Strawberry,21.5,11
2021-03-05,Friday,0,Small,Chocolate,22.3,27
2021-03-05,Friday,0,Small,Strawberry,22.3,22
2021-03-05,Friday,0,Medium,Chocolate,22.3,23
2021-03-05,Friday,0,Medium,Strawberry,22.3,17
2021-03-05,Friday,0,Large,Chocolate,22.3,15
2021-03-05,Friday,0,Large,Strawberry,22.3,12
2021-03-06,Saturday,1,Small,Chocolate,23.2,22
2021-03-06,Saturday,1,Small,Strawberry,23.2,21
2021-03-06,Saturday,1,Medium,Chocolate,23.2,20
2021-03-06,Saturday,1,Medium,Strawberry,23.2,13
2021-03-06,Saturday,1,Large,Chocolate,23.2,12
2021-03-06,Saturday,1,Large,Strawberry,23.2,11
2021-03-07,Sunday,1,Small,Chocolate,20.5,11
2021-03-07,Sunday,1,Small,Strawberry,20.5,11
2021-03-07,Sunday,1,Medium,Chocolate,20.5,8
2021-03-07,Sunday,1,Medium,Strawberry,20.5,4
2021-03-07,Sunday,1,Large,Chocolate,20.5,3
2021-03-07,Sunday,1,Large,Strawberry,20.5,5
2021-03-08,Monday,0,Small,Chocolate,24.4,20
2021-03-08,Monday,0,Small,Strawberry,24.4,12
2021-03-08,Monday,0,Medium,Chocolate,24.4,15
2021-03-08,Monday,0,Medium,Strawberry,24.4,9
2021-03-08,Monday,0,Large,Chocolate,24.4,8
2021-03-08,Monday,0,Large,Strawberry,24.4,8
2021-03-09,Tuesday,0,Small,Chocolate,22.3,16
2021-03-09,Tuesday,0,Small,Strawberry,22.3,10
2021-03-09,Tuesday,0,Medium,Chocolate,22.3,13
2021-03-09,Tuesday,0,Medium,Strawberry,22.3,7
2021-03-09,Tuesday,0,Large,Chocolate,22.3,8
2021-03-09,Tuesday,0,Large,Strawberry,22.3,8
2021-03-10,Wednesday,0,Small,Chocolate,19.1,5
2021-03-10,Wednesday,0,Small,Strawberry,19.1,3
2021-03-10,Wednesday,0,Medium,Chocolate,19.1,4
2021-03-10,Wednesday,0,Medium,Strawberry,19.1,1
2021-03-10,Wednesday,0,Large,Chocolate,19.1,2
2021-03-10,Wednesday,0,Large,Strawberry,19.1,0
2021-03-11,Thursday,0,Small,Chocolate,26.5,30
2021-03-11,Thursday,0,Small,Strawberry,26.5,23
2021-03-11,Thursday,0,Medium,Chocolate,26.5,22
2021-03-11,Thursday,0,Medium,Strawberry,26.5,18
2021-03-11,Thursday,0,Large,Chocolate,26.5,15
2021-03-11,Thursday,0,Large,Strawberry,26.5,11
2021-03-12,Friday,0,Small,Chocolate,24.8,36
2021-03-12,Friday,0,Small,Strawberry,24.8,27
2021-03-12,Friday,0,Medium,Chocolate,24.8,29
2021-03-12,Friday,0,Medium,Strawberry,24.8,21
2021-03-12,Friday,0,Large,Chocolate,24.8,13
2021-03-12,Friday,0,Large,Strawberry,24.8,12
2021-03-13,Saturday,1,Small,Chocolate,20.6,11
2021-03-13,Saturday,1,Small,Strawberry,20.6,12
2021-03-13,Saturday,1,Medium,Chocolate,20.6,9
2021-03-13,Saturday,1,Medium,Strawberry,20.6,6
2021-03-13,Saturday,1,Large,Chocolate,20.6,7
2021-03-13,Saturday,1,Large,Strawberry,20.6,0
2021-03-14,Sunday,1,Small,Chocolate,24.9,39
2021-03-14,Sunday,1,Small,Strawberry,24.9,37
2021-03-14,Sunday,1,Medium,Chocolate,24.9,34
2021-03-14,Sunday,1,Medium,Strawberry,24.9,26
2021-03-14,Sunday,1,Large,Chocolate,24.9,23
2021-03-14,Sunday,1,Large,Strawberry,24.9,22
2021-03-15,Monday,0,Small,Chocolate,24.8,24
2021-03-15,Monday,0,Small,Strawberry,24.8,19
2021-03-15,Monday,0,Medium,Chocolate,24.8,22
2021-03-15,Monday,0,Medium,Strawberry,24.8,15
2021-03-15,Monday,0,Large,Chocolate,24.8,13
2021-03-15,Monday,0,Large,Strawberry,24.8,9
2021-03-16,Tuesday,0,Small,Chocolate,25.5,30
2021-03-16,Tuesday,0,Small,Strawberry,25.5,21
2021-03-16,Tuesday,0,Medium,Chocolate,25.5,21
2021-03-16,Tuesday,0,Medium,Strawberry,25.5,16
2021-03-16,Tuesday,0,Large,Chocolate,25.5,13
2021-03-16,Tuesday,0,Large,Strawberry,25.5,12
2021-03-17,Wednesday,0,Small,Chocolate,26.2,24
2021-03-17,Wednesday,0,Small,Strawberry,26.2,21
2021-03-17,Wednesday,0,Medium,Chocolate,26.2,18
2021-03-17,Wednesday,0,Medium,Strawberry,26.2,18
2021-03-17,Wednesday,0,Large,Chocolate,26.2,9
2021-03-17,Wednesday,0,Large,Strawberry,26.2,6
2021-03-18,Thursday,0,Small,Chocolate,21.2,15
2021-03-18,Thursday,0,Small,Strawberry,21.2,11
2021-03-18,Thursday,0,Medium,Chocolate,21.2,0
2021-03-18,Thursday,0,Medium,Strawberry,21.2,7
2021-03-18,Thursday,0,Large,Chocolate,21.2,12
2021-03-18,Thursday,0,Large,Strawberry,21.2,6
2021-03-19,Friday,0,Small,Chocolate,25.0,29
2021-03-19,Friday,0,Small,Strawberry,25.0,23
2021-03-19,Friday,0,Medium,Chocolate,25.0,21
2021-03-19,Friday,0,Medium,Strawberry,25.0,19
2021-03-19,Friday,0,Large,Chocolate,25.0,18
2021-03-19,Friday,0,Large,Strawberry,25.0,14
2021-03-20,Saturday,1,Small,Chocolate,28.1,39
2021-03-20,Saturday,1,Small,Strawberry,28.1,33
2021-03-20,Saturday,1,Medium,Chocolate,28.1,32
2021-03-20,Saturday,1,Medium,Strawberry,28.1,28
2021-03-20,Saturday,1,Large,Chocolate,28.1,17
2021-03-20,Saturday,1,Large,Strawberry,28.1,20
2021-03-21,Sunday,1,Small,Chocolate,24.7,30
